,IncGeo_WardName,DelayCodeId,tmoyCodeId,tmedCodeId,tstdCodeId,tminCodeId,tmaxCodeId
216,MILE END,9.0,445.0,391.0,112.82434725418682,361.0,660.0
217,MILE END,12.0,416.6842105263158,409.0,49.964490314599026,361.0,521.0
218,MILE END,5.0,518.3333333333334,461.0,172.30883126912948,382.0,712.0
219,MILE END,8.0,419.5,419.5,37.476659402887016,393.0,446.0
220,HOXTON EAST & SHOREDITCH,0.0,229.7095709570957,238.0,69.5859191207642,3.0,360.0
221,HOXTON EAST & SHOREDITCH,12.0,497.5882352941176,491.0,88.87495346238543,393.0,734.0
222,HOXTON EAST & SHOREDITCH,9.0,438.1034482758621,411.0,97.4372856279457,361.0,848.0
223,HOXTON EAST & SHOREDITCH,5.0,541.0,541.0,2.8284271247461903,539.0,543.0
224,HOXTON EAST & SHOREDITCH,11.0,415.0,415.0,0.0,415.0,415.0
225,HOXTON EAST & SHOREDITCH,8.0,391.0,383.0,15.620499351813308,381.0,409.0
226,HOXTON EAST & SHOREDITCH,7.0,388.0,388.0,0.0,388.0,388.0
227,HOXTON EAST & SHOREDITCH,6.0,702.0,702.0,0.0,702.0,702.0
228,ABBEY WOOD,12.0,432.11764705882354,403.0,83.07271904085815,361.0,715.0
229,ABBEY WOOD,0.0,280.93939393939394,298.0,68.45836186933649,4.0,357.0
230,ABBEY WOOD,5.0,486.6666666666667,403.0,171.55271298738862,373.0,684.0
231,ABBEY WOOD,10.0,690.5,690.5,314.66251762801363,468.0,913.0
232,ABBEY WOOD,9.0,484.1,483.0,119.45659369736683,361.0,788.0
233,ABBEY WOOD,8.0,407.3333333333333,417.0,37.44774136491189,366.0,439.0
234,ABBEY WOOD,11.0,535.3333333333334,548.0,135.4449457651829,394.0,664.0
235,ABBEY WOOD,7.0,552.8571428571429,482.0,179.50155855537724,393.0,857.0
236,NORWOOD GREEN,12.0,454.70454545454544,428.0,92.94774214340028,363.0,720.0
237,NORWOOD GREEN,0.0,269.2957746478873,276.0,63.03205406009077,63.0,357.0
238,NORWOOD GREEN,7.0,611.0,556.0,155.95191566633608,490.0,787.0
239,NORWOOD GREEN,9.0,437.0,400.0,73.49829930005184,365.0,564.0
240,NORWOOD GREEN,10.0,619.5,619.5,129.4005409571382,528.0,711.0
241,NORWOOD GREEN,5.0,723.0,723.0,5.656854249492381,719.0,727.0
242,NORWOOD GREEN,8.0,444.0,444.0,0.0,444.0,444.0
243,HEADSTONE SOUTH,12.0,502.46666666666664,542.0,110.96837816414617,360.0,665.0
244,HEADSTONE SOUTH,0.0,244.6888888888889,242.0,49.82780449718912,138.0,353.0
245,HEADSTONE SOUTH,8.0,487.0,487.0,0.0,487.0,487.0
246,HEADSTONE SOUTH,3.0,489.0,489.0,0.0,489.0,489.0
247,WEST HAM,12.0,451.7647058823529,417.0,92.51319460742121,363.0,657.0
